Name,Age,Purchase Amount,Date,Time
Catherine Smith,20,75.43,02-07-2023,19:12:23
Alison Washington,20,82.07,02-07-2023,19:12:23
Josephine Braun,53,27.95,02-07-2023,19:12:23
Ida Hams,56,54.94,02-07-2023,19:12:23
Christopher Brown,30,55.85,02-07-2023,19:12:23
Bob Juarez,58,64.78,02-07-2023,19:12:23
Jennifer Wilson,48,37.38,02-07-2023,19:12:23
Eric Allen,58,23.23,02-07-2023,19:12:23
George George,55,97.49,02-07-2023,19:12:23
George Grossen,49,92.68,02-07-2023,19:12:23
Adam Ramirez,24,41.11,02-07-2023,19:12:23
Nick Mayer,39,39.73,02-07-2023,19:12:23
Mary Alves,28,24.14,02-07-2023,19:12:23
William Tape,25,46.04,02-07-2023,19:12:23
David Brooks,57,50.83,02-07-2023,19:12:23
Kristin Varden,28,41.37,02-07-2023,19:12:23
Donald Shoemaker,20,34.14,02-07-2023,19:12:23
Jillian Hibler,35,49.05,02-07-2023,19:12:23
Daniel Silva,63,73.82,02-07-2023,19:12:23
Victoria Smith,55,42.28,02-07-2023,19:12:23
Yu Hubert,33,88.0,02-07-2023,19:12:23
Jose Scott,21,65.4,02-07-2023,19:12:23
Cornelius Hayes,59,82.46,02-07-2023,19:12:23
Lesa Nichols,20,45.53,02-07-2023,19:12:23
Adriana Craig,51,73.1,02-07-2023,19:12:23
Marlana Letendre,22,54.22,02-07-2023,19:12:23
Kimberly Gomez,61,64.72,02-07-2023,19:12:23
Joshua Hart,46,75.36,02-07-2023,19:12:23
Thomas Acosta,52,75.46,02-07-2023,19:12:23
George Hutton,29,48.17,02-07-2023,19:12:23
Marilyn Cangelosi,64,44.83,02-07-2023,19:12:23
Susan Feldman,50,73.44,02-07-2023,19:12:23
Thelma Jack,31,54.63,02-07-2023,19:12:23
Richard Madlock,34,31.43,02-07-2023,19:12:23
Gloria Seibert,63,72.7,02-07-2023,19:12:23
Marc Kruger,61,82.65,02-07-2023,19:12:23
George Gillen,32,28.0,02-07-2023,19:12:23
Frank Pinter,46,73.05,02-07-2023,19:12:23
Michael Tyson,51,52.5,02-07-2023,19:12:23
Mary Turney,41,98.36,02-07-2023,19:12:23
Kimberly King,21,73.29,02-07-2023,19:12:23
Linda Hutton,45,69.11,02-07-2023,19:12:23
Ronnie Turner,56,22.29,02-07-2023,19:12:23
Wilma Mclaughlin,61,86.88,02-07-2023,19:12:23
Karla Carney,56,90.43,02-07-2023,19:12:23
Brittany Rose,54,25.31,02-07-2023,19:12:23
Edward Anderson,18,67.45,02-07-2023,19:12:23
Sidney Briggs,30,24.33,02-07-2023,19:12:23
Alexander Leon,49,96.53,02-07-2023,19:12:23
Walter Holder,61,40.4,02-07-2023,19:12:23
Helen Jones,60,52.76,02-07-2023,19:12:23
Clinton Wright,22,80.23,02-07-2023,19:12:23
Joseph Fournier,22,89.23,02-07-2023,19:12:23
Andrea Bechtel,25,95.93,02-07-2023,19:12:23
Amelia Dunlap,41,42.7,02-07-2023,19:12:23
Raquel Vecker,52,88.28,02-07-2023,19:12:23
Lula Guenther,24,51.39,02-07-2023,19:12:23
Angela Oneil,37,51.77,02-07-2023,19:12:23
Janet Countryman,32,29.94,02-07-2023,19:12:23
Daniel Morgan,54,74.21,02-07-2023,19:12:23
Nicholas Holm,41,79.07,02-07-2023,19:12:23
Patrick Bell,25,22.48,02-07-2023,19:12:23
Tammy Santos,62,28.88,02-07-2023,19:12:23
Arlette Thomas,62,87.66,02-07-2023,19:12:23
Carolyn Beattie,44,98.62,02-07-2023,19:12:23
Luis Price,26,67.77,02-07-2023,19:12:23
John Deason,52,71.62,02-07-2023,19:12:23
Emma Tommie,50,66.51,02-07-2023,19:12:23
Thomas Bowthorpe,33,96.61,02-07-2023,19:12:23
Clinton Picklesimer,38,25.79,02-07-2023,19:12:24
Virginia Vasquez,35,69.7,02-07-2023,19:12:24
Jennie Handley,19,80.48,02-07-2023,19:12:24
Morgan Alvarado,65,86.26,02-07-2023,19:12:24
Thomas Karas,49,71.37,02-07-2023,19:12:24
Julie Devine,35,97.93,02-07-2023,19:12:24
Paul Vela,29,47.4,02-07-2023,19:12:24
Linda House,32,32.11,02-07-2023,19:12:24
Amanda Proctor,65,53.52,02-07-2023,19:12:24
Daniel Brandt,18,70.85,02-07-2023,19:12:24
Robert Roach,22,95.3,02-07-2023,19:12:24
Israel Baskin,29,36.57,02-07-2023,19:12:24
Lee Case,56,29.03,02-07-2023,19:12:24
Dolores Kemppainen,60,94.57,02-07-2023,19:12:24
John Dunn,50,74.21,02-07-2023,19:12:24
Julia Hickey,37,40.91,02-07-2023,19:12:24
Gail Bell,33,97.35,02-07-2023,19:12:24
Melissa Stark,21,97.67,02-07-2023,19:12:24
Steven Woods,55,25.3,02-07-2023,19:12:24
Gail Blackwell,44,24.24,02-07-2023,19:12:24
Matthew Hanson,33,26.69,02-07-2023,19:12:24
Paige Bush,65,94.5,02-07-2023,19:12:24
Carol Sartin,27,51.83,02-07-2023,19:12:24
Justin Sconiers,30,69.06,02-07-2023,19:12:24
Kevin Leven,26,41.06,02-07-2023,19:12:24
Abe Mcroy,65,69.1,02-07-2023,19:12:24
Timothy Xiong,31,51.18,02-07-2023,19:12:24
Michael Glover,19,28.72,02-07-2023,19:12:24
Rodney Pate,37,63.26,02-07-2023,19:12:24
William Clare,46,64.34,02-07-2023,19:12:24
Patrick Sanchez,65,72.51,02-07-2023,19:12:24
Dwayne Hernandez,41,26.13,02-07-2023,19:12:24
Harold Herman,59,82.54,02-07-2023,19:12:24
Charlotte Garis,38,49.96,02-07-2023,19:12:24
Mary Ohanlon,39,50.73,02-07-2023,19:12:24
Marjorie Casagrande,60,25.21,02-07-2023,19:12:24
Lawrence Warner,59,74.46,02-07-2023,19:12:24
Patrick Menzies,45,74.88,02-07-2023,19:12:24
David Jaramillo,22,35.26,02-07-2023,19:12:24
Leslie Gannett,62,49.62,02-07-2023,19:12:24
Mary Chambers,33,90.54,02-07-2023,19:12:24
Ada Hicks,34,41.44,02-07-2023,19:12:24
Rosa Carmona,47,36.56,02-07-2023,19:12:24
Anna Alvarado,26,47.68,02-07-2023,19:12:24
